PID: 1091, Name: Code - Insiders Helper (Plugin), CPU: 0.46%, Memory: 48889856 bytes
PID: 1093, Name: Code - Insiders Helper, CPU: 0.52%, Memory: 27770880 bytes
PID: 1094, Name: Code - Insiders Helper (Plugin), CPU: 0.32%, Memory: 50380800 bytes
PID: 1096, Name: parentalcontrolsd, CPU: 0.00%, Memory: 2932736 bytes
PID: 1100, Name: familycircled, CPU: 0.00%, Memory: 4030464 bytes
PID: 1128, Name: fish, CPU: 0.00%, Memory: 737280 bytes
PID: 1129, Name: fish, CPU: 0.00%, Memory: 737280 bytes
PID: 1130, Name: fish, CPU: 0.00%, Memory: 737280 bytes
PID: 1142, Name: fish, CPU: 0.00%, Memory: 737280 bytes
PID: 1143, Name: fish, CPU: 0.00%, Memory: 737280 bytes
PID: 1147, Name: fish, CPU: 0.00%, Memory: 737280 bytes
PID: 1168, Name: fish, CPU: 0.00%, Memory: 737280 bytes
PID: 1303, Name: Code - Insiders Helper (Plugin), CPU: 0.02%, Memory: 9666560 bytes
PID: 1305, Name: fish, CPU: 0.00%, Memory: 737280 bytes
PID: 1315, Name: Code - Insiders Helper (Plugin), CPU: 0.02%, Memory: 9224192 bytes
PID: 1321, Name: Code - Insiders Helper (Plugin), CPU: 0.01%, Memory: 7471104 bytes
PID: 1331, Name: Code - Insiders Helper (Plugin), CPU: 0.04%, Memory: 7897088 bytes
PID: 1364, Name: Code - Insiders Helper (Plugin), CPU: 0.02%, Memory: 8585216 bytes
PID: 1365, Name: Code - Insiders Helper (Plugin), CPU: 0.02%, Memory: 8126464 bytes
PID: 1373, Name: Code - Insiders Helper (Plugin), CPU: 0.01%, Memory: 6799360 bytes
PID: 1456, Name: universalAccessAuthWarn, CPU: 0.00%, Memory: 3768320 bytes
PID: 1495, Name: Code - Insiders Helper (Plugin), CPU: 0.02%, Memory: 10027008 bytes
PID: 1512, Name: fish, CPU: 0.00%, Memory: 737280 bytes
PID: 1530, Name: fish, CPU: 0.00%, Memory: 737280 bytes
PID: 1612, Name: mdbulkimport, CPU: 0.00%, Memory: 6881280 bytes
PID: 1615, Name: Code - Insiders Helper (Plugin), CPU: 0.02%, Memory: 8617984 bytes
PID: 1620, Name: terraform-ls, CPU: 0.05%, Memory: 57819136 bytes
PID: 1636, Name: Python, CPU: 0.00%, Memory: 1032192 bytes
PID: 1637, Name: Python, CPU: 0.00%, Memory: 1032192 bytes
PID: 1785, Name: fish, CPU: 0.00%, Memory: 737280 bytes
PID: 1846, Name: Python, CPU: 0.00%, Memory: 1032192 bytes
PID: 1881, Name: Python, CPU: 0.00%, Memory: 1032192 bytes
PID: 1894, Name: Code - Insiders Helper (Plugin), CPU: 0.02%, Memory: 8372224 bytes
PID: 1911, Name: fish, CPU: 0.00%, Memory: 737280 bytes
PID: 1937, Name: distnoted, CPU: 0.00%, Memory: 1458176 bytes
PID: 1945, Name: Python, CPU: 0.00%, Memory: 1032192 bytes
PID: 1952, Name: python3.11, CPU: 0.00%, Memory: 1032192 bytes
PID: 1981, Name: python3.11, CPU: 0.00%, Memory: 1032192 bytes
PID: 1994, Name: Python, CPU: 0.00%, Memory: 1032192 bytes
PID: 2019, Name: Microsoft.VisualStudio.Code.Server, CPU: 0.01%, Memory: 13877248 bytes
PID: 2031, Name: dotnet, CPU: 3.49%, Memory: 15532032 bytes
PID: 2063, Name: distnoted, CPU: 0.00%, Memory: 1458176 bytes
PID: 2122, Name: Microsoft.ServiceHub.Controller, CPU: 0.00%, Memory: 9027584 bytes
PID: 2154, Name: Microsoft.VisualStudio.Code.ServiceHost, CPU: 0.01%, Memory: 4489216 bytes
PID: 2156, Name: Microsoft.VisualStudio.Code.ServiceHost, CPU: 0.00%, Memory: 4620288 bytes
PID: 2179, Name: dotnet, CPU: 0.00%, Memory: 1097728 bytes
PID: 2191, Name: systemstats, CPU: 0.00%, Memory: 2670592 bytes
PID: 2243, Name: storedownloadd, CPU: 0.00%, Memory: 3129344 bytes
PID: 2264, Name: distnoted, CPU: 0.00%, Memory: 1458176 bytes
PID: 2284, Name: mediaremoteagent, CPU: 0.00%, Memory: 1966080 bytes
PID: 2285, Name: avconferenced, CPU: 0.00%, Memory: 3407872 bytes
PID: 2433, Name: CrashReporterSupportHelper, CPU: 0.00%, Memory: 2293760 bytes
PID: 2571, Name: mdbulkimport, CPU: 0.00%, Memory: 4669440 bytes
PID: 2908, Name: distnoted, CPU: 0.00%, Memory: 1458176 bytes
PID: 2950, Name: UserNotificationCenter, CPU: 0.00%, Memory: 5242880 bytes
PID: 2970, Name: cfprefsd, CPU: 0.05%, Memory: 3112960 bytes
PID: 3062, Name: StatusKitAgent, CPU: 0.00%, Memory: 3850240 bytes
PID: 3164, Name: passd, CPU: 0.00%, Memory: 4767744 bytes
PID: 3659, Name: Code - Insiders Helper (Plugin), CPU: 0.02%, Memory: 9191424 bytes
PID: 3797, Name: ContextStoreAgent, CPU: 0.11%, Memory: 12861440 bytes
PID: 3802, Name: BiomeAgent, CPU: 0.00%, Memory: 4177920 bytes
PID: 3965, Name: PasswordBreachAgent, CPU: 0.00%, Memory: 3670016 bytes
PID: 4887, Name: PerfPowerServices, CPU: 0.14%, Memory: 15138816 bytes
PID: 4903, Name: prl_client_app, CPU: 0.00%, Memory: 2146304 bytes
PID: 4939, Name: Parallels Service, CPU: 0.00%, Memory: 1064960 bytes
PID: 4940, Name: bash, CPU: 0.00%, Memory: 262144 bytes
PID: 4945, Name: prl_disp_service, CPU: 0.01%, Memory: 7405568 bytes
PID: 4957, Name: bash, CPU: 0.00%, Memory: 671744 bytes
PID: 4979, Name: prl_naptd, CPU: 0.00%, Memory: 2588672 bytes
PID: 4988, Name: InternetSharing, CPU: 0.00%, Memory: 2015232 bytes
PID: 5502, Name: ir_agent, CPU: 2.41%, Memory: 57114624 bytes
PID: 5503, Name: ir_agent, CPU: 0.12%, Memory: 11075584 bytes
PID: 5848, Name: dotnet, CPU: 3.52%, Memory: 9388032 bytes
PID: 5855, Name: Microsoft.VisualStudio.Code.Server, CPU: 0.00%, Memory: 4653056 bytes
PID: 5866, Name: Microsoft.ServiceHub.Controller, CPU: 0.00%, Memory: 9207808 bytes
PID: 5889, Name: Microsoft.VisualStudio.Code.ServiceHost, CPU: 0.00%, Memory: 4620288 bytes
PID: 5890, Name: Microsoft.VisualStudio.Code.ServiceHost, CPU: 0.00%, Memory: 4620288 bytes
